import time: self [us] | cumulative | imported package
import time:       297 |        297 |   _io
import time:        34 |         34 |   marshal
import time:       262 |        262 |   posix
import time:       316 |        908 | _frozen_importlib_external
import time:       690 |        690 |   time
import time:       107 |        796 | zipimport
import time:       127 |        127 |     _codecs
import time:       191 |        317 |   codecs
import time:       980 |        980 |   encodings.aliases
import time:      3443 |       4738 | encodings
import time:       360 |        360 | encodings.utf_8
import time:        95 |         95 | _signal
import time:        30 |         30 |     _abc
import time:       120 |        150 |   abc
import time:       151 |        300 | io
import time:        36 |         36 |       _stat
import time:        49 |         84 |     stat
import time:       764 |        764 |     _collections_abc
import time:        42 |         42 |       genericpath
import time:        51 |         93 |     posixpath
import time:       282 |       1222 |   os
import time:        63 |         63 |   _sitebuiltins
import time:       451 |        451 |   encodings.utf_8_sig
import time:       525 |        525 |     __future__
import time:       430 |        430 |         warnings
import time:       426 |        856 |       importlib
import time:        45 |        901 |     importlib.machinery
import time:       480 |        480 |       importlib._abc
import time:       388 |        388 |       types
import time:        90 |        957 |     importlib.util
import time:       184 |        184 |     itertools
import time:        52 |         52 |               _operator
import time:       467 |        518 |             operator
import time:       280 |        280 |                 keyword
import time:       310 |        310 |                 reprlib
import time:        49 |         49 |                 _collections
import time:       906 |       1544 |               collections
import time:        43 |         43 |               _functools
import time:       727 |       2314 |             functools
import time:      1355 |       4186 |           enum
import time:        49 |         49 |             _sre
import time:       399 |        399 |               re._constants
import time:       541 |        940 |             re._parser
import time:       330 |        330 |             re._casefix
import time:       622 |       1939 |           re._compiler
import time:       338 |        338 |           copyreg
import time:       690 |       7151 |         re
import time:       369 |       7519 |       fnmatch
import time:        62 |         62 |         _winapi
import time:        53 |         53 |         nt
import time:        48 |         48 |         nt
import time:        46 |         46 |         nt
import time:        45 |         45 |         nt
import time:        46 |         46 |         nt
import time:        46 |         46 |         nt
import time:        66 |        408 |       ntpath
import time:        40 |         40 |       errno
import time:       267 |        267 |         urllib
import time:       920 |        920 |         math
import time:      1195 |       1195 |         ipaddress
import time:      2340 |       4720 |       urllib.parse
import time:      1569 |      14253 |     pathlib
import time:      2708 |      19525 |   __editable___astra_intelligence_0_1_0_finder
import time:       334 |        334 |   _distutils_hack
import time:       719 |        719 |   sitecustomize
import time:      2944 |      25254 | site
import time:       303 |        303 | runpy
import time:       331 |        331 |   ui
import time:       738 |       1068 | ui.dashboard
import time:       394 |        394 |         collections.abc
import time:       350 |        350 |             token
import time:        30 |         30 |             _tokenize
import time:       903 |       1282 |           tokenize
import time:       295 |       1577 |         linecache
import time:       736 |        736 |         textwrap
import time:       761 |        761 |         contextlib
import time:       500 |       3967 |       traceback
import time:       289 |        289 |         _weakrefset
import time:       474 |        762 |       weakref
