Ticker,Action,Confidence,RSI,EMA,MACD,OBV,ADX,ATR%,Vol_Ratio,Sentiment,Hist_Strength,SPY_Corr,Close,Date
AAPL,HOLD,48.75,51.556616,1,0,0,37.47347217,0.021336002,0.986251175,0,0.25,0,258.4500122,10/29/25
MSFT,SELL,,55.1457829,1,0,1,26.6345886,0.015106565,1.087548838,0,,0,520.539978,10/29/25
TSLA,HOLD,48.75,50.99617645,1,0,0,34.04372442,0.042437006,0.928584058,0,0.25,0,438.9700012,10/29/25
NVDA,SELL,,39.44077353,1,0,0,29.79772305,0.032806113,0.941006964,0,,0,180.2799988,10/29/25
AMZN,SELL,41.25,45.18358473,0,1,0,18.12980597,0.026188844,0.974880544,0,0.25,0,217.9499969,10/29/25
BTC-USD,SELL,23.75,26.5539432,0,0,0,24.21421099,0.045397046,0.966821508,0,0.25,0,108195.625,10/29/25
ETH-USD,SELL,23.75,32.35984548,0,0,0,24.27501083,0.076981365,0.891679582,0,0.25,0,3822.314209,10/29/25
AAPL,HOLD,48.75,51.556616,1,0,0,37.47347217,0.021336002,0.986251175,0,0.25,0,258.4500122,10/29/25
MSFT,SELL,,55.1457829,1,0,1,26.6345886,0.015106565,1.087548838,0,,0,520.539978,10/29/25
TSLA,HOLD,48.75,50.99617645,1,0,0,34.04372442,0.042437006,0.928584058,0,0.25,0,438.9700012,10/29/25
NVDA,SELL,,39.44077353,1,0,0,29.79772305,0.032806113,0.941006964,0,,0,180.2799988,10/29/25
AMZN,SELL,41.25,45.18358473,0,1,0,18.12980597,0.026188844,0.974880544,0,0.25,0,217.9499969,10/29/25
BTC-USD,SELL,23.75,26.54759817,0,0,0,24.21421099,0.045400288,0.966386658,0,0.25,0,108187.8984,10/29/25
ETH-USD,SELL,23.75875,32.37542268,0,0,0,24.27501083,0.076961997,0.890920804,0,0.25025,0,3823.276123,10/29/25
AAPL,HOLD,48.75,51.556616,1,0,0,37.47347217,0.021336002,0.986251175,0,0.25,0,258.4500122,10/29/25
MSFT,SELL,,55.1457829,1,0,1,26.6345886,0.015106565,1.087548838,0,,0,520.539978,10/29/25
TSLA,HOLD,48.75,50.99617645,1,0,0,34.04372442,0.042437006,0.928584058,0,0.25,0,438.9700012,10/29/25
NVDA,SELL,,39.44077353,1,0,0,29.79772305,0.032806113,0.941006964,0,,0,180.2799988,10/29/25
AMZN,SELL,41.25,45.18358473,0,1,0,18.12980597,0.026188844,0.974880544,0,0.25,0,217.9499969,10/29/25
BTC-USD,SELL,23.75875,26.52327906,0,0,0,24.21421099,0.045412733,0.973035853,0,0.25025,0,108158.25,10/29/25
ETH-USD,SELL,23.75875,32.32746211,0,0,0,24.27501083,0.07702172,0.902829998,0,0.25025,0,3820.311523,10/29/25
AAPL,HOLD,48.75,51.556616,1,0,0,37.47347217,0.021336002,0.986251175,0,0.25,0,258.4500122,10/29/25
MSFT,SELL,,55.1457829,1,0,1,26.6345886,0.015106565,1.087548838,0,,0,520.539978,10/29/25
TSLA,HOLD,48.75,50.99617645,1,0,0,34.04372442,0.042437006,0.928584058,0,0.25,0,438.9700012,10/29/25
NVDA,SELL,,39.44077353,1,0,0,29.79772305,0.032806113,0.941006964,0,,0,180.2799988,10/29/25
AMZN,SELL,41.25,45.18358473,0,1,0,18.12980597,0.026188844,0.974880544,0,0.25,0,217.9499969,10/29/25
BTC-USD,SELL,23.75,26.72408593,0,0,0,24.21421099,0.045310851,0.959153918,0,0.25,0,108401.4453,10/29/25
ETH-USD,SELL,23.75,32.46521582,0,0,0,24.27501083,0.076850903,0.884945665,0,0.25,0,3828.802979,10/29/25
AAPL,HOLD,48.75,51.556616,1,0,0,37.47347217,0.021336002,0.986251175,0,0.25,0,258.4500122,10/29/25
MSFT,SELL,,55.1457829,1,0,1,26.6345886,0.015106565,1.087548838,0,,0,520.539978,10/29/25
TSLA,HOLD,48.75,50.99617645,1,0,0,34.04372442,0.042437006,0.928584058,0,0.25,0,438.9700012,10/29/25
NVDA,SELL,,39.44077353,1,0,0,29.79772305,0.032806113,0.941006964,0,,0,180.2799988,10/29/25
AMZN,SELL,41.25,45.18358473,0,1,0,18.12980597,0.026188844,0.974880544,0,0.25,0,217.9499969,10/29/25
BTC-USD,SELL,23.75,26.62078509,0,0,0,24.21421099,0.045363013,0.962965979,0,0.25,0,108276.7969,10/29/25
ETH-USD,SELL,23.75875,32.3758934,0,0,0,24.27501083,0.076961412,0.889254772,0,0.25025,0,3823.305176,10/29/25
AAPL,HOLD,48.75,51.556616,1,0,0,37.47347217,0.021336002,0.986251175,0,0.25,0,258.4500122,10/29/25
MSFT,SELL,,55.1457829,1,0,1,26.6345886,0.015106565,1.087548838,0,,0,520.539978,10/29/25
TSLA,HOLD,48.75,50.99617645,1,0,0,34.04372442,0.042437006,0.928584058,0,0.25,0,438.9700012,10/29/25
NVDA,SELL,,39.44077353,1,0,0,29.79772305,0.032806113,0.941006964,0,,0,180.2799988,10/29/25
AMZN,SELL,41.25,45.18358473,0,1,0,18.12980597,0.026188844,0.974880544,0,0.25,0,217.9499969,10/29/25
